nodesum = 123,edgesum = 621,Round = 527,failcases = 118.37,bottlenecks = 10.20,random_nodesnum = 87.30,random_edgesnum = 224.93,average_time = 98.30
nodesum = 20,edgesum = 96,Round = 90,failcases = 23.57,bottlenecks = 2.63,random_nodesnum = 20.00,random_edgesnum = 70.33,average_time = 1.73
nodesum = 124,edgesum = 593,Round = 505,failcases = 91.63,bottlenecks = 8.87,random_nodesnum = 92.17,random_edgesnum = 230.27,average_time = 75.90
nodesum = 73,edgesum = 329,Round = 282,failcases = 78.87,bottlenecks = 4.90,random_nodesnum = 56.70,random_edgesnum = 146.10,average_time = 20.17
nodesum = 32,edgesum = 166,Round = 150,failcases = 7.23,bottlenecks = 2.17,random_nodesnum = 30.10,random_edgesnum = 93.87,average_time = 4.33
nodesum = 26,edgesum = 112,Round = 96,failcases = 191.00,bottlenecks = 1.00,random_nodesnum = 10.00,random_edgesnum = 8.00,average_time = 2.33
nodesum = 85,edgesum = 390,Round = 329,failcases = 81.83,bottlenecks = 7.80,random_nodesnum = 68.80,random_edgesnum = 180.93,average_time = 31.33
nodesum = 125,edgesum = 612,Round = 517,failcases = 123.00,bottlenecks = 8.80,random_nodesnum = 91.47,random_edgesnum = 231.17,average_time = 83.93
nodesum = 83,edgesum = 419,Round = 356,failcases = 37.23,bottlenecks = 4.60,random_nodesnum = 64.17,random_edgesnum = 172.10,average_time = 23.90
nodesum = 100,edgesum = 394,Round = 324,failcases = 71.90,bottlenecks = 9.43,random_nodesnum = 78.33,random_edgesnum = 181.97,average_time = 34.00
nodesum = 52,edgesum = 240,Round = 207,failcases = 50.43,bottlenecks = 3.90,random_nodesnum = 43.23,random_edgesnum = 117.97,average_time = 7.70
nodesum = 14,edgesum = 35,Round = 31,failcases = 17.43,bottlenecks = 2.60,random_nodesnum = 13.80,random_edgesnum = 28.47,average_time = 0.33
nodesum = 71,edgesum = 272,Round = 228,failcases = 68.67,bottlenecks = 7.50,random_nodesnum = 60.40,random_edgesnum = 147.00,average_time = 15.00
nodesum = 61,edgesum = 274,Round = 234,failcases = 37.13,bottlenecks = 4.37,random_nodesnum = 50.90,random_edgesnum = 129.50,average_time = 11.00
nodesum = 126,edgesum = 607,Round = 515,failcases = 73.80,bottlenecks = 9.13,random_nodesnum = 88.63,random_edgesnum = 216.37,average_time = 71.07
nodesum = 59,edgesum = 279,Round = 241,failcases = 35.93,bottlenecks = 2.20,random_nodesnum = 47.33,random_edgesnum = 120.60,average_time = 10.07
nodesum = 20,edgesum = 91,Round = 86,failcases = 21.77,bottlenecks = 2.63,random_nodesnum = 19.97,random_edgesnum = 68.23,average_time = 1.43
nodesum = 102,edgesum = 469,Round = 395,failcases = 103.43,bottlenecks = 6.87,random_nodesnum = 75.97,random_edgesnum = 195.47,average_time = 42.23
nodesum = 130,edgesum = 570,Round = 476,failcases = 159.00,bottlenecks = 13.30,random_nodesnum = 93.80,random_edgesnum = 223.10,average_time = 111.00
nodesum = 46,edgesum = 164,Round = 135,failcases = 109.23,bottlenecks = 7.83,random_nodesnum = 40.37,random_edgesnum = 96.77,average_time = 7.40
nodesum = 21,edgesum = 90,Round = 81,failcases = 12.93,bottlenecks = 2.90,random_nodesnum = 20.40,random_edgesnum = 60.50,average_time = 1.33
nodesum = 12,edgesum = 20,Round = 20,failcases = 39.00,bottlenecks = 1.00,random_nodesnum = 6.00,random_edgesnum = 4.00,average_time = 0.00
nodesum = 44,edgesum = 179,Round = 154,failcases = 34.50,bottlenecks = 4.97,random_nodesnum = 37.87,random_edgesnum = 103.30,average_time = 5.23
nodesum = 14,edgesum = 49,Round = 44,failcases = 87.00,bottlenecks = 1.00,random_nodesnum = 6.00,random_edgesnum = 4.00,average_time = 0.33
nodesum = 147,edgesum = 749,Round = 641,failcases = 61.83,bottlenecks = 5.77,random_nodesnum = 103.90,random_edgesnum = 261.10,average_time = 113.00
nodesum = 112,edgesum = 494,Round = 418,failcases = 88.40,bottlenecks = 9.30,random_nodesnum = 82.60,random_edgesnum = 199.37,average_time = 56.03
nodesum = 124,edgesum = 604,Round = 511,failcases = 110.57,bottlenecks = 7.47,random_nodesnum = 93.03,random_edgesnum = 234.50,average_time = 80.53
nodesum = 22,edgesum = 61,Round = 57,failcases = 113.00,bottlenecks = 1.00,random_nodesnum = 8.00,random_edgesnum = 6.00,average_time = 0.70
