5X,,
num,round,time(ms)
1,6,54
2,27,22
3,48,30
4,69,41
5,90,80
6,111,90
7,132,144
8,153,195
9,174,269
10,195,338
11,216,448
12,237,415
13,258,573
14,279,624
15,300,732
16,321,773
17,342,1020
18,363,2049
19,384,1574
20,405,1457
21,426,1655
22,447,1970
23,468,2258
24,489,2535
25,510,2901
26,531,3745
27,552,3761
28,573,4238
29,594,4670
30,615,5243
31,636,6130
32,657,7016
33,678,7285
34,699,7768
35,720,8507
36,741,9298
37,762,10603
38,783,11340
39,804,12268
40,825,13099
41,846,14216
42,867,16223
43,888,17639
44,909,18058
45,930,20183
46,951,21006
47,972,22224
48,993,24144
49,1014,25827
50,1035,27417
51,1056,29532
52,1077,31262
53,1098,33509
54,1119,35702
55,1140,38499
56,1161,40543
57,1182,43833
58,1203,45414
59,1224,48187
60,1245,50812
61,1266,53929
62,1287,56785
63,1308,59757
64,1329,62981
65,1350,66429
66,1371,71291
67,1392,74451
68,1413,78076
69,1434,82112
70,1455,86645
71,1476,90600
72,1497,95074
73,1518,101285
74,1539,104250
75,1560,108994
76,1581,114521
77,1602,119522
78,1623,125364
79,1644,130629
80,1665,137137
81,1686,142986
82,1707,147696
83,1728,154101
84,1749,160604
85,1770,167900
86,1791,175361
87,1812,181893
88,1833,189060
89,1854,198069
90,1875,206658
91,1896,215688
92,1917,222486
93,1938,230551
94,1959,239711
95,1980,248945
96,2001,258272
97,2022,268252
98,2043,278183
99,2064,287927
100,2085,298726
101,2105,310159
102,2126,320239
103,2147,331765
104,2168,343082
105,2189,355155
106,2210,367494
107,2231,381346
108,2252,393081
109,2273,406335
110,2294,420600
111,2315,434686
112,2336,448167
113,2357,462815
114,2378,477824
115,2399,493318
116,2420,508605
117,2441,524274
118,2462,541164
119,2483,558529
120,2504,576222
121,2525,592420
122,2546,610165
123,2567,628050
124,2588,647813
125,2609,669207
126,2630,695291
127,2651,704975
128,2672,726403
129,2693,747465
130,2714,771805
131,2735,792022
132,2756,812464
133,2777,834536
134,2798,858677
135,2819,881543
136,2840,905008
137,2861,931618
138,2882,958008
139,2903,979459
140,2924,1009013
141,2945,1036591
142,2966,1063410
143,2987,1090127
144,3008,1118002
145,3029,1147328
146,3050,1177702
147,3071,1205104
148,3092,1235901
149,3113,1268412
150,3134,1298845
